id,nombre,horasTrabajadas,sueldo
1,Lou,120,10000
2,Ulrike,180,25000
3,Brade,325,20000
4,Kimbell,120,50000
5,Sheelagh,220,18000
6,Gayle,120,30000
7,Kimberlee,60,33000
8,Henrieta,90,30000
9,Jeanine,325,18000
10,Aggie,75,15000
11,Brandea,180,15000
12,Cordelie,325,50000
13,Shel,120,50000
14,Bronnie,60,20000
15,Megen,180,10000
16,Iver,90,12000
17,Ernesta,60,37000
18,Cirillo,88,50000
19,Park,120,30000
20,Bellanca,88,15000
21,Bobbye,180,15000
22,Eugene,88,50000
23,Johnny,325,33000
24,Reagen,90,42000
25,Braden,180,25000
26,Karim,75,25000
27,Anthea,90,42000
28,Doro,120,33000
29,Gaye,120,37000
30,Toby,180,15000
31,Franny,325,15000
32,Katey,180,42000
33,Earle,90,10000
34,Redd,88,42000
35,Jehanna,220,50000
36,Cristie,180,10000
37,Stefa,88,42000
38,Roda,90,25000
39,Alfredo,88,10000
40,Sydney,75,10000
41,Brnaba,180,30000
42,Ame,88,50000
43,Bradney,88,25000
44,Margarete,120,50000
45,Nikoletta,120,50000
46,Lonnard,75,50000
47,Raine,180,30000
48,Noella,120,15000
49,Dagmar,88,25000
50,Carroll,220,42000
51,Marion,88,50000
52,Carline,220,12000
53,Hyacinthie,75,15000
54,Julina,120,33000
55,Corina,220,37000
56,Bernardine,75,33000
57,Homer,180,18000
58,Lianna,220,12000
59,Celene,120,50000
60,Kori,90,50000
61,Deeyn,88,20000
62,Marysa,75,20000
63,Loy,120,15000
64,Gabbey,120,37000
65,Star,90,33000
66,Dominica,120,33000
67,Blanch,75,15000
68,Cristobal,120,15000
69,Paulita,120,50000
70,Sayre,180,33000
71,Shaughn,90,15000
72,Katrine,90,25000
73,Cristi,88,42000
74,Cristie,90,25000
75,Solomon,90,10000
76,Nananne,120,33000
77,Sacha,90,25000
78,Morse,180,25000
79,Roland,180,25000
80,Jesselyn,180,30000
81,Kylila,325,12000
82,Kendre,180,25000
83,Lesya,90,15000
84,Tatiania,120,20000
85,Trenton,88,12000
86,Angie,90,20000
87,Joelle,90,37000
88,George,60,30000
89,Guenevere,90,30000
90,Margaretha,75,10000
91,Sully,60,15000
92,Lonni,220,50000
93,Nicky,180,42000
94,My,90,18000
95,Kyrstin,90,37000
96,Martino,75,15000
97,Marcellus,88,50000
98,Jacquelin,120,30000
99,Aleda,90,50000
100,Georgeta,88,10000
101,Marcille,88,10000
102,Ertha,88,10000
103,Desiri,120,25000
104,Geneva,90,33000
105,Kilian,120,42000
106,Nance,75,10000
107,Gaven,180,10000
108,Carlie,220,10000
109,Trixie,325,42000
110,Dominick,75,30000
111,Petey,120,15000
112,Tersina,75,30000
113,Johnathon,90,15000
114,Freddie,180,12000
115,Harmon,220,50000
116,Tracey,75,20000
117,Cherrita,180,33000
118,Stu,60,12000
119,Glenda,220,37000
120,Lorettalorna,220,25000
121,Patrizio,60,15000
122,Linda,88,30000
123,Pippa,325,20000
124,Pen,60,18000
125,Esteban,88,15000
126,Fonzie,325,15000
127,Cindelyn,60,12000
128,Zacharie,75,30000
129,Vina,88,42000
130,Omero,75,10000
131,Tom,75,33000
132,Dante,60,30000
133,Cordy,120,18000
134,Stephenie,220,50000
135,Dunstan,325,20000
136,Gideon,180,15000
137,Johnette,220,10000
138,Brynn,75,50000
139,Yankee,88,42000
140,Corbin,120,42000
141,Coreen,60,18000
142,Tanya,88,30000
143,Jenna,60,25000
144,Flora,90,33000
145,Dianna,90,20000
146,Armand,60,15000
147,Gustie,180,42000
148,Benton,180,12000
149,Lena,325,25000
150,Dot,180,18000
151,Meryl,220,12000
152,Babbie,120,15000
153,Byram,90,42000
154,Bertine,60,25000
155,Osbert,120,42000
156,Tanny,325,42000
157,Maryjo,60,12000
158,Clarie,60,42000
159,Kipp,90,15000
160,Leonie,325,50000
161,Ferdie,120,15000
162,Ofella,90,50000
163,Pascale,220,15000
164,Cathrin,120,30000
165,Sib,60,33000
166,Darleen,220,42000
167,Didi,60,15000
168,Lodovico,60,18000
169,Farley,325,12000
170,Devi,60,25000
171,Clair,180,37000
172,Addy,325,33000
173,Brandon,90,18000
174,Prentiss,60,30000
175,Lorant,88,50000
176,Wanids,325,30000
177,Robbi,75,10000
178,Mellicent,75,50000
179,Lynea,90,20000
180,Nial,325,15000
181,Guillaume,60,37000
182,Loutitia,88,25000
183,Ruthe,325,30000
184,Eric,60,50000
185,Marcellus,180,30000
186,Ian,75,42000
187,Sebastien,75,37000
188,Scarface,220,50000
189,Maible,75,18000
190,Waldon,90,30000
191,Bethina,75,15000
192,Farand,88,42000
193,Zolly,88,25000
194,Philipa,325,42000
195,Roderigo,88,20000
196,Otho,90,20000
197,Alasteir,120,20000
198,Eleonora,120,42000
199,Eliot,60,12000
200,Alana,220,30000
201,Odey,60,20000
202,Yorke,88,15000
203,Cissiee,180,18000
204,Jillana,180,18000
205,Mallorie,88,30000
206,Borden,88,12000
207,Maddie,60,33000
208,Weider,88,50000
209,Asia,325,37000
210,Sayres,88,10000
211,Marcile,120,30000
212,Thomasina,60,42000
213,Darwin,220,18000
214,Nicolina,90,30000
215,Nita,60,12000
216,Nikoletta,120,12000
217,Dwight,220,42000
218,Romola,88,50000
219,Kaile,325,33000
220,Mozes,220,25000
221,Aylmer,325,33000
222,Marina,120,12000
223,Enrico,325,50000
224,Zonda,325,33000
225,Adriano,220,33000
226,Trula,88,30000
227,Adel,180,30000
228,Jeniece,180,15000
229,Tabina,60,10000
230,Liana,60,33000
231,Marmaduke,220,10000
232,Alla,88,30000
233,Peter,120,12000
234,Pietro,75,18000
235,Hiram,88,20000
236,Anastasia,180,18000
237,Cathleen,180,10000
238,Leeanne,120,15000
239,Chet,325,42000
240,Billie,75,37000
241,Alexandra,75,42000
242,Broddie,90,42000
243,Brigham,180,25000
244,Cal,120,42000
245,Donal,75,18000
246,Adam,220,20000
247,Dotty,180,42000
248,Maynard,120,18000
249,Jessee,90,30000
250,Tiphani,88,42000
251,Jenna,180,30000
